column_name,data_type,original,pre_enrichment_col_seq,original_column_name,desc_en,orginal_col_seq,count,lang,sentiment_required,is_identifier,is_categorical,category_values,stakeholder_category,analysis_category
serial_number,INTEGER,TRUE,1,Sr No,Serial Number,1,16220,en,no,TRUE,FALSE,nan,[district_admin],row_identity
month,VARCHAR,TRUE,2,Month,Month,95,16220,en,no,FALSE,TRUE,"[Timestamp('2022-09-01 00:00:00'), Timestamp('2022-10-01 00:00:00'), Timestamp('2022-11-01 00:00:00'), Timestamp('2022-12-01 00:00:00'), Timestamp('2023-01-01 00:00:00'), Timestamp('2023-02-01 00:00:00'), Timestamp('2023-03-01 00:00:00'), Timestamp('2023-04-01 00:00:00'), Timestamp('2023-05-01 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-08-01 00:00:00'), Timestamp('2023-09-01 00:00:00'), Timestamp('2023-10-01 00:00:00'), Timestamp('2023-11-01 00:00:00'), Timestamp('2023-12-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-02-01 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-04-01 00:00:00'), Timestamp('2024-05-01 00:00:00'), Timestamp('2024-06-01 00:00:00'), Timestamp('2024-07-01 00:00:00'), Timestamp('2024-08-01 00:00:00')]","[mentor, teacher, school_admin, block_admin, district_admin]",row_identity
inspection_date,DATE,TRUE,3,InspectionDate,Inspection Date,11,16220,en,no,FALSE,FALSE,nan,"[mentor, teacher, school_admin, block_admin, district_admin]",row_identity
time_spent,INTEGER,TRUE,4,TimeSpent,Time Spent,12,16220,en,no,FALSE,FALSE,nan,"[mentor, school_admin, block_admin, district_admin]",row_identity
mentor_name,VARCHAR,TRUE,5,Mentor Name,Mentor Name,8,16220,en,no,TRUE,TRUE,"['ALOK KUMAR DWIVEI', 'ARVIND SHANKAR SHRIVASTAV', 'AWADHESH KUMAR TIWARI', 'Ashish Kaushik', 'Ashutosh Jawaliya', 'BEENU CHATURVEDI', 'Balram', 'DEVENDRA VERMA', 'Deepak Bharti', 'Deepika varshney', 'Devi Prasad', 'Dharmendra kumar', 'Dr. Arun kumar Dr.Arun Kumar', 'Dr. MUKESH ROSHAN SHUKLA', 'Dr. Md. Alam Mansure', 'Dr. Satyendra Pratap', 'Dr.VIJEETA RATHORE', 'JAGDEESH MAURYA', 'KIRAN LATA', 'MANOJ KUMAR VERMA', 'Mukesh Tripathi', 'NARENDRA KUMAR SHARMA', 'NILU SAHU', 'PEEYUSH AGRAWAL', 'PRADEEP KUMAR YADAV', 'PRAVEEN YADAV', 'PREM NARAYAN', 'PUSHPENDRA KUMAR TIWARI', 'RAHUL TYAGI', 'RAJESH KUMAR', 'RAM NARESH RAJPOOT', 'RAM PAL', 'RIZWANA PARVEEN', 'Raghvendra Pratap Singh', 'Raj kumar sahu', 'Rekha devi', 'SHIV SARAN', 'SUNIL KUMAR SAHU', 'Sudhaker agrawal', 'VINAY KUMAR', 'VINOD KUMAR', 'VIVEK TIWARI', 'dharmesh kumar sahu', 'gaurav pandey', 'kamlesh kumar gupta', 'raj kumar singh']",nan,mentor_identity
mobile_number,VARCHAR,TRUE,6,Mobile No,Mobile Number,9,16220,en,no,TRUE,TRUE,"[6306408827, 6307968485, 7007227968, 7007841592, 7080217800, 7844985947, 7860614008, 7860686123, 7905296796, 7985380809, 7985563180, 8009201501, 8299043839, 8299772832, 8429625907, 8738949530, 8756099300, 8787058595, 8840682055, 8887557213, 9098009365, 9198227030, 9198635355, 9340350493, 9415504935, 9415942347, 9450502718, 9451333731, 9452379578, 9452575321, 9452589500, 9452906566, 9453129700, 9453339736, 9453481597, 9454076877, 9565876787, 9598475626, 9651751293, 9651902280, 9794376065, 9838075876, 9838848656, 9839044202, 9936185427, 9936602310]",nan,mentor_identity
designation,VARCHAR,TRUE,7,Designation,Designation,10,16220,en,no,TRUE,TRUE,"['ARP', 'Diet Mentor', 'S R G']",nan,mentor_identity
district_name,VARCHAR,TRUE,8,District Name,District Name,2,16220,en,no,TRUE,TRUE,['JHANSI'],nan,school_identity
block_town,VARCHAR,TRUE,9,BlockTown,Block/Town,3,16220,en,no,TRUE,TRUE,"['Babina', 'Badagaon', 'Bamaur', 'Bangra', 'Chirgaon', 'Gursrai', 'Jhansi', 'Mauranipur', 'Moth']",nan,school_identity
area_type,VARCHAR,TRUE,10,AreaType,Area Type,4,16220,en,no,TRUE,TRUE,"['R', 'U']",nan,school_identity
school_name,VARCHAR,TRUE,11,School Name,School Name,5,16220,en,no,TRUE,FALSE,nan,nan,school_identity
udise_code,VARCHAR,TRUE,12,Udise Code,Udise Code,6,16220,en,no,TRUE,FALSE,nan,nan,school_identity
school_type,VARCHAR,TRUE,13,SchoolType,School Type,7,16220,en,no,TRUE,TRUE,"['Composite', 'PS', 'Ups']",nan,school_identity
total_student,INTEGER,TRUE,14,TotalStudent,Total Student,13,16220,en,no,FALSE,FALSE,nan,"[school_admin, block_admin, district_admin]",school_student_counts
number_of_registered_boys,INTEGER,TRUE,15,Namankit Balako ki Sankhya,Number of Registered Boys,48,16220,en,no,FALSE,FALSE,nan,"[school_admin, block_admin, district_admin]",school_student_counts
number_of_registered_girls,INTEGER,TRUE,16,Namankit Balikaon ki Sankhya,Number of Registered Girls,49,16220,en,no,FALSE,FALSE,nan,"[school_admin, block_admin, district_admin]",school_student_counts
